,-1.882421027099987043e+00,-2.265437004139815969e+00,-2.310369773625779555e+00,-2.440339908624592713e+00,-2.548396561976296493e+00,-2.634844902405385270e+00,-2.678229438191876977e+00,-2.711546981102608278e+00,-2.746154618689761850e+00,-2.814455043274211477e+00,-2.897858604083976886e+00,-2.937574548014805220e+00,-3.015316863135170777e+00,-3.077390902920018600e+00,-3.154723403510329760e+00,-3.187837743994618833e+00,-3.279683414524076746e+00,-3.330983431942641460e+00,-3.336770337295492439e+00,-3.351177806254063363e+00,-3.407480430724393550e+00,-3.414178303856795438e+00,-3.431312566371464534e+00,-3.444132925492691122e+00,-3.466529175179967837e+00,-3.499239103402832285e+00,-3.518749241661010441e+00,-3.566277676691635978e+00,-3.584800335569430452e+00,-3.585189484196740661e+00,-3.596306378062111619e+00,-3.652032278518415609e+00,-3.676159942720114149e+00,-3.688795271591416292e+00,-3.754449272088726364e+00,-3.761289858815632492e+00,-3.761389772682320221e+00,-3.766452626350043964e+00,-3.794396974639946407e+00,-3.824942268336136486e+00,-3.847224372973280460e+00,-3.847304720733574435e+00,-3.848732104100962559e+00,-3.939286818207659469e+00,-3.977267983454296552e+00,-3.977820720455574666e+00,-3.993900328686129875e+00,-3.994073858845930580e+00,-4.031727311826743154e+00,-4.038228755590734131e+00,-4.041785122393429575e+00,-4.077882589979651584e+00,-4.091789792477479537e+00,-4.141374588133665213e+00,-4.172888592562447485e+00,-4.204072502097164765e+00,-4.235020453926294337e+00,-4.280545072740000734e+00,-4.326058471930625871e+00,-4.344603944058372136e+00,-4.354106796833803195e+00,-4.401242826466297942e+00,-4.402327872066721604e+00,-4.433426348711678955e+00,-4.447093408913389112e+00,-4.546071261405466579e+00,-4.577756901819570956e+00,-4.604449400253044722e+00,-4.636971681466848239e+00,-4.673493987606695654e+00,-4.681762758990675621e+00,-4.699471497964776923e+00,-4.720902182505236411e+00,-4.731105564775530681e+00,-4.777116650478996362e+00,-4.843237705180324149e+00,-4.934737689238837710e+00,-4.954370929411180846e+00,-4.990481185975664147e+00,-5.008699494484583958e+00,-5.088728795334973576e+00,-5.138013285694435162e+00,-5.139482164629055383e+00,-5.158983176759036837e+00,-5.164786092924173566e+00,-5.176501532124613725e+00,-5.192303071225615518e+00,-5.279711128666191300e+00,-5.362938809262586481e+00,-5.378727713823105994e+00,-5.437938681758627268e+00,-5.464303593493608169e+00,-5.516353335722953055e+00,-5.687884111211611859e+00,-5.703497655750545015e+00,-5.739172286693404068e+00,-5.797078643945318355e+00,-5.851216861940863545e+00,-5.933659831023821773e+00,-5.939212062184722640e+00
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.331835214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.41021495937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.66285867651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08042263613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.66303763057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.39662778005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1723159118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.581087771864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0723590374465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
