time	x_obs	y_obs
0.0	10.0	1.0
1.0	5.57492982577	1.00021867399
2.0	3.94430684418	1.00302968953
3.0	3.32790109229	1.02061822262
4.0	3.02946687376	1.09874904027
5.0	2.72250997428	1.32465853041
6.0	2.40750056115	1.60985181905
7.0	2.20742020246	1.79896361218
8.0	2.10282603478	1.89952252204
9.0	2.05069192866	1.95017250412
10.0	2.02497222137	1.97534651718
11.0	2.01230353121	1.98781388081
12.0	2.00606630306	1.99397693418
13.0	2.00299291422	1.99702302475
14.0	2.00147684682	1.99852902094
15.0	2.00072871698	1.99927344497
16.0	2.00036414281	1.99963665404
17.0	2.00017885261	1.99982144064
18.0	2.00008506586	1.99991504227
19.0	2.00004006061	1.99995997876
20.0	2.00001817904	1.9999818341
21.0	2.00000848001	1.99999152424
22.0	2.00000458652	1.99999541532
23.0	2.00000296135	1.99999704001
24.0	2.00000212687	1.99999787432
25.0	2.00000156221	1.99999843876
26.0	2.00000095675	1.99999904378
27.0	2.0000005317	1.99999946853
28.0	2.00000026192	1.99999973814
29.0	2.00000009642	1.99999990355
30.0	2.00000001923	1.99999998073
31.0	1.99999993795	2.00000006197
32.0	1.99999990698	2.00000009294
33.0	1.99999992632	2.00000007362
34.0	1.99999990262	2.00000009732
35.0	1.99999988702	2.00000011292
36.0	1.99999988724	2.0000001127
37.0	1.99999990329	2.00000009666
38.0	1.99999993517	2.0000000648
39.0	1.99999994627	2.0000000537
40.0	1.99999995277	2.00000004721
41.0	1.99999995927	2.00000004072
42.0	1.99999996577	2.00000003422
43.0	1.99999997226	2.00000002773
44.0	1.99999997876	2.00000002123
45.0	1.99999998526	2.00000001474
46.0	1.99999999089	2.00000000911
47.0	1.99999999147	2.00000000853
48.0	1.99999999205	2.00000000794
49.0	1.99999999264	2.00000000736
50.0	1.99999999322	2.00000000678
51.0	1.99999999381	2.00000000619
52.0	1.99999999439	2.00000000561
53.0	1.99999999497	2.00000000502
54.0	1.99999999556	2.00000000444
55.0	1.99999999614	2.00000000386
56.0	1.99999999673	2.00000000327
57.0	1.99999999731	2.00000000269
58.0	1.99999999789	2.00000000211
59.0	1.99999999848	2.00000000152
60.0	1.99999999906	2.00000000094
